,img,notoccluded,lefteyebrow,lefteye,righteyebrow,righteye
676,C:\Users\nidhimh\Documents\Occlusion\train\677.jpg,0,0,1,0,0
677,C:\Users\nidhimh\Documents\Occlusion\train\678.jpg,0,1,1,0,0
682,C:\Users\nidhimh\Documents\Occlusion\train\683.jpg,0,1,0,0,0
684,C:\Users\nidhimh\Documents\Occlusion\train\685.jpg,0,0,1,0,0
690,C:\Users\nidhimh\Documents\Occlusion\train\691.jpg,0,0,1,0,0
697,C:\Users\nidhimh\Documents\Occlusion\train\698.jpg,0,1,1,0,0
705,C:\Users\nidhimh\Documents\Occlusion\train\706.jpg,0,0,1,0,0
707,C:\Users\nidhimh\Documents\Occlusion\train\708.jpg,0,0,1,0,0
717,C:\Users\nidhimh\Documents\Occlusion\train\718.jpg,0,0,1,0,0
721,C:\Users\nidhimh\Documents\Occlusion\train\722.jpg,0,0,1,0,0
734,C:\Users\nidhimh\Documents\Occlusion\train\735.jpg,0,1,1,0,0
751,C:\Users\nidhimh\Documents\Occlusion\train\752.jpg,0,1,1,0,0
755,C:\Users\nidhimh\Documents\Occlusion\train\756.jpg,0,1,1,0,0
770,C:\Users\nidhimh\Documents\Occlusion\train\771.jpg,0,1,1,0,0
776,C:\Users\nidhimh\Documents\Occlusion\train\777.jpg,0,1,1,0,0
788,C:\Users\nidhimh\Documents\Occlusion\train\789.jpg,0,0,1,0,0
819,C:\Users\nidhimh\Documents\Occlusion\train\820.jpg,0,1,0,0,0
833,C:\Users\nidhimh\Documents\Occlusion\train\834.jpg,0,1,1,0,0
835,C:\Users\nidhimh\Documents\Occlusion\train\836.jpg,0,1,0,0,0
841,C:\Users\nidhimh\Documents\Occlusion\train\842.jpg,0,1,1,0,0
845,C:\Users\nidhimh\Documents\Occlusion\train\846.jpg,0,1,0,0,0
847,C:\Users\nidhimh\Documents\Occlusion\train\848.jpg,0,1,0,0,0
851,C:\Users\nidhimh\Documents\Occlusion\train\852.jpg,0,0,1,0,0
852,C:\Users\nidhimh\Documents\Occlusion\train\853.jpg,0,1,0,0,0
853,C:\Users\nidhimh\Documents\Occlusion\train\854.jpg,0,1,1,1,0
857,C:\Users\nidhimh\Documents\Occlusion\train\858.jpg,0,0,1,0,0
859,C:\Users\nidhimh\Documents\Occlusion\train\860.jpg,0,0,1,1,0
863,C:\Users\nidhimh\Documents\Occlusion\train\864.jpg,0,1,0,1,0
864,C:\Users\nidhimh\Documents\Occlusion\train\865.jpg,0,1,0,0,0
865,C:\Users\nidhimh\Documents\Occlusion\train\866.jpg,0,1,1,0,0
866,C:\Users\nidhimh\Documents\Occlusion\train\867.jpg,0,1,1,1,0
867,C:\Users\nidhimh\Documents\Occlusion\train\868.jpg,0,1,1,1,0
868,C:\Users\nidhimh\Documents\Occlusion\train\869.jpg,0,1,0,0,0
870,C:\Users\nidhimh\Documents\Occlusion\train\871.jpg,0,1,0,0,0
871,C:\Users\nidhimh\Documents\Occlusion\train\872.jpg,0,0,1,0,0
872,C:\Users\nidhimh\Documents\Occlusion\train\873.jpg,0,0,1,1,0
874,C:\Users\nidhimh\Documents\Occlusion\train\875.jpg,0,0,1,0,0
875,C:\Users\nidhimh\Documents\Occlusion\train\876.jpg,0,0,1,1,0
876,C:\Users\nidhimh\Documents\Occlusion\train\877.jpg,0,1,1,1,0
878,C:\Users\nidhimh\Documents\Occlusion\train\879.jpg,0,1,0,1,0
879,C:\Users\nidhimh\Documents\Occlusion\train\880.jpg,0,0,1,1,0
880,C:\Users\nidhimh\Documents\Occlusion\train\881.jpg,0,1,0,1,0
883,C:\Users\nidhimh\Documents\Occlusion\train\884.jpg,0,1,0,0,0
885,C:\Users\nidhimh\Documents\Occlusion\train\886.jpg,0,0,1,0,0
887,C:\Users\nidhimh\Documents\Occlusion\train\888.jpg,0,1,1,1,0
888,C:\Users\nidhimh\Documents\Occlusion\train\889.jpg,0,1,1,0,0
889,C:\Users\nidhimh\Documents\Occlusion\train\890.jpg,0,1,0,1,0
890,C:\Users\nidhimh\Documents\Occlusion\train\891.jpg,0,0,1,0,0
891,C:\Users\nidhimh\Documents\Occlusion\train\892.jpg,0,1,0,1,0
894,C:\Users\nidhimh\Documents\Occlusion\train\895.jpg,0,1,0,1,0
895,C:\Users\nidhimh\Documents\Occlusion\train\896.jpg,0,1,0,0,0
897,C:\Users\nidhimh\Documents\Occlusion\train\898.jpg,0,1,0,0,0
900,C:\Users\nidhimh\Documents\Occlusion\train\901.jpg,0,1,0,1,0
903,C:\Users\nidhimh\Documents\Occlusion\train\904.jpg,0,1,0,0,0
904,C:\Users\nidhimh\Documents\Occlusion\train\905.jpg,0,1,0,0,0
905,C:\Users\nidhimh\Documents\Occlusion\train\906.jpg,0,1,1,1,0
906,C:\Users\nidhimh\Documents\Occlusion\train\907.jpg,0,1,1,1,0
908,C:\Users\nidhimh\Documents\Occlusion\train\909.jpg,0,1,0,0,0
909,C:\Users\nidhimh\Documents\Occlusion\train\910.jpg,0,0,1,0,0
911,C:\Users\nidhimh\Documents\Occlusion\train\912.jpg,0,1,0,0,0
912,C:\Users\nidhimh\Documents\Occlusion\train\913.jpg,0,0,1,0,0
913,C:\Users\nidhimh\Documents\Occlusion\train\914.jpg,0,1,0,1,0
914,C:\Users\nidhimh\Documents\Occlusion\train\915.jpg,0,1,1,0,0
915,C:\Users\nidhimh\Documents\Occlusion\train\916.jpg,0,1,0,0,0
916,C:\Users\nidhimh\Documents\Occlusion\train\917.jpg,0,1,1,1,0
918,C:\Users\nidhimh\Documents\Occlusion\train\919.jpg,0,1,0,0,0
919,C:\Users\nidhimh\Documents\Occlusion\train\920.jpg,0,1,0,0,0
920,C:\Users\nidhimh\Documents\Occlusion\train\921.jpg,0,1,0,0,0
922,C:\Users\nidhimh\Documents\Occlusion\train\923.jpg,0,1,1,1,0
923,C:\Users\nidhimh\Documents\Occlusion\train\924.jpg,0,1,1,1,0
924,C:\Users\nidhimh\Documents\Occlusion\train\925.jpg,0,0,0,1,0
925,C:\Users\nidhimh\Documents\Occlusion\train\926.jpg,0,1,1,1,0
926,C:\Users\nidhimh\Documents\Occlusion\train\927.jpg,0,0,1,0,0
927,C:\Users\nidhimh\Documents\Occlusion\train\928.jpg,0,1,0,1,0
929,C:\Users\nidhimh\Documents\Occlusion\train\930.jpg,0,1,0,0,0
931,C:\Users\nidhimh\Documents\Occlusion\train\932.jpg,0,1,0,0,0
932,C:\Users\nidhimh\Documents\Occlusion\train\933.jpg,0,1,0,0,0
933,C:\Users\nidhimh\Documents\Occlusion\train\934.jpg,0,0,1,0,0
935,C:\Users\nidhimh\Documents\Occlusion\train\936.jpg,0,1,1,1,0
936,C:\Users\nidhimh\Documents\Occlusion\train\937.jpg,0,0,1,0,0
939,C:\Users\nidhimh\Documents\Occlusion\train\940.jpg,0,1,0,0,0
940,C:\Users\nidhimh\Documents\Occlusion\train\941.jpg,0,0,1,1,0
943,C:\Users\nidhimh\Documents\Occlusion\train\944.jpg,0,1,0,0,0
944,C:\Users\nidhimh\Documents\Occlusion\train\945.jpg,0,1,0,1,0
945,C:\Users\nidhimh\Documents\Occlusion\train\946.jpg,0,1,1,1,0
946,C:\Users\nidhimh\Documents\Occlusion\train\947.jpg,0,1,1,1,0
949,C:\Users\nidhimh\Documents\Occlusion\train\950.jpg,0,1,0,1,0
950,C:\Users\nidhimh\Documents\Occlusion\train\951.jpg,0,1,0,0,0
951,C:\Users\nidhimh\Documents\Occlusion\train\952.jpg,0,1,0,0,0
953,C:\Users\nidhimh\Documents\Occlusion\train\954.jpg,0,1,0,1,0
954,C:\Users\nidhimh\Documents\Occlusion\train\955.jpg,0,0,0,1,0
956,C:\Users\nidhimh\Documents\Occlusion\train\957.jpg,0,0,1,0,0
958,C:\Users\nidhimh\Documents\Occlusion\train\959.jpg,0,1,0,0,0
959,C:\Users\nidhimh\Documents\Occlusion\train\960.jpg,0,1,0,1,0
960,C:\Users\nidhimh\Documents\Occlusion\train\961.jpg,0,1,0,0,0
963,C:\Users\nidhimh\Documents\Occlusion\train\964.jpg,0,1,1,0,0
966,C:\Users\nidhimh\Documents\Occlusion\train\967.jpg,0,1,1,0,0
967,C:\Users\nidhimh\Documents\Occlusion\train\968.jpg,0,1,0,0,0
969,C:\Users\nidhimh\Documents\Occlusion\train\970.jpg,0,1,0,0,0
970,C:\Users\nidhimh\Documents\Occlusion\train\971.jpg,0,1,0,0,0
971,C:\Users\nidhimh\Documents\Occlusion\train\972.jpg,0,0,1,0,0
974,C:\Users\nidhimh\Documents\Occlusion\train\975.jpg,0,1,0,0,0
975,C:\Users\nidhimh\Documents\Occlusion\train\976.jpg,0,1,0,1,0
976,C:\Users\nidhimh\Documents\Occlusion\train\977.jpg,0,0,1,1,0
977,C:\Users\nidhimh\Documents\Occlusion\train\978.jpg,0,0,1,0,0
978,C:\Users\nidhimh\Documents\Occlusion\train\979.jpg,0,0,1,1,0
979,C:\Users\nidhimh\Documents\Occlusion\train\980.jpg,0,0,1,1,0
981,C:\Users\nidhimh\Documents\Occlusion\train\982.jpg,0,0,1,0,0
982,C:\Users\nidhimh\Documents\Occlusion\train\983.jpg,0,1,0,0,0
984,C:\Users\nidhimh\Documents\Occlusion\train\985.jpg,0,1,1,0,0
986,C:\Users\nidhimh\Documents\Occlusion\train\987.jpg,0,1,1,0,0
987,C:\Users\nidhimh\Documents\Occlusion\train\988.jpg,0,0,1,0,0
988,C:\Users\nidhimh\Documents\Occlusion\train\989.jpg,0,1,0,1,0
990,C:\Users\nidhimh\Documents\Occlusion\train\991.jpg,0,1,1,1,0
992,C:\Users\nidhimh\Documents\Occlusion\train\993.jpg,0,1,0,0,0
993,C:\Users\nidhimh\Documents\Occlusion\train\994.jpg,0,1,1,0,0
995,C:\Users\nidhimh\Documents\Occlusion\train\996.jpg,0,1,1,0,0
1003,C:\Users\nidhimh\Documents\Occlusion\train\1004.jpg,0,1,1,0,0
1004,C:\Users\nidhimh\Documents\Occlusion\train\1005.jpg,0,1,0,1,0
1007,C:\Users\nidhimh\Documents\Occlusion\train\1008.jpg,0,0,1,1,0
1008,C:\Users\nidhimh\Documents\Occlusion\train\1009.jpg,0,1,0,0,0
1010,C:\Users\nidhimh\Documents\Occlusion\train\1011.jpg,0,0,1,0,0
1012,C:\Users\nidhimh\Documents\Occlusion\train\1013.jpg,0,0,1,0,0
1014,C:\Users\nidhimh\Documents\Occlusion\train\1015.jpg,0,1,0,1,0
1016,C:\Users\nidhimh\Documents\Occlusion\train\1017.jpg,0,0,1,1,0
1017,C:\Users\nidhimh\Documents\Occlusion\train\1018.jpg,0,1,0,0,0
1018,C:\Users\nidhimh\Documents\Occlusion\train\1019.jpg,0,1,0,0,0
1019,C:\Users\nidhimh\Documents\Occlusion\train\1020.jpg,0,0,1,0,0
1020,C:\Users\nidhimh\Documents\Occlusion\train\1021.jpg,0,1,0,1,0
1022,C:\Users\nidhimh\Documents\Occlusion\train\1023.jpg,0,1,1,1,0
1024,C:\Users\nidhimh\Documents\Occlusion\train\1025.jpg,0,1,0,0,0
1025,C:\Users\nidhimh\Documents\Occlusion\train\1026.jpg,0,1,1,1,0
1026,C:\Users\nidhimh\Documents\Occlusion\train\1027.jpg,0,1,0,0,0
1027,C:\Users\nidhimh\Documents\Occlusion\train\1028.jpg,0,1,0,0,0
1028,C:\Users\nidhimh\Documents\Occlusion\train\1029.jpg,0,1,1,0,0
1029,C:\Users\nidhimh\Documents\Occlusion\train\1030.jpg,0,1,1,0,0
1031,C:\Users\nidhimh\Documents\Occlusion\train\1032.jpg,0,0,1,0,0
1033,C:\Users\nidhimh\Documents\Occlusion\train\1034.jpg,0,1,0,0,0
1034,C:\Users\nidhimh\Documents\Occlusion\train\1035.jpg,0,1,1,0,0
1037,C:\Users\nidhimh\Documents\Occlusion\train\1038.jpg,0,0,1,1,0
1040,C:\Users\nidhimh\Documents\Occlusion\train\1041.jpg,0,1,0,1,0
1042,C:\Users\nidhimh\Documents\Occlusion\train\1043.jpg,0,1,0,0,0
1043,C:\Users\nidhimh\Documents\Occlusion\train\1044.jpg,0,1,1,0,0
1045,C:\Users\nidhimh\Documents\Occlusion\train\1046.jpg,0,1,1,0,0
1053,C:\Users\nidhimh\Documents\Occlusion\train\1054.jpg,0,0,1,0,0
1058,C:\Users\nidhimh\Documents\Occlusion\train\1059.jpg,0,0,1,0,0
1059,C:\Users\nidhimh\Documents\Occlusion\train\1060.jpg,0,1,0,0,0
1060,C:\Users\nidhimh\Documents\Occlusion\train\1061.jpg,0,1,0,0,0
1061,C:\Users\nidhimh\Documents\Occlusion\train\1062.jpg,0,1,0,0,0
1062,C:\Users\nidhimh\Documents\Occlusion\train\1063.jpg,0,1,1,1,0
1065,C:\Users\nidhimh\Documents\Occlusion\train\1066.jpg,0,1,1,0,0
1069,C:\Users\nidhimh\Documents\Occlusion\train\1070.jpg,0,1,0,1,0
1074,C:\Users\nidhimh\Documents\Occlusion\train\1075.jpg,0,1,1,1,0
1076,C:\Users\nidhimh\Documents\Occlusion\train\1077.jpg,0,1,0,0,0
1079,C:\Users\nidhimh\Documents\Occlusion\train\1080.jpg,0,1,0,0,0
1080,C:\Users\nidhimh\Documents\Occlusion\train\1081.jpg,0,1,0,1,0
1086,C:\Users\nidhimh\Documents\Occlusion\train\1087.jpg,0,1,0,0,0
1090,C:\Users\nidhimh\Documents\Occlusion\train\1091.jpg,0,0,1,0,0
1091,C:\Users\nidhimh\Documents\Occlusion\train\1092.jpg,0,1,1,0,0
1093,C:\Users\nidhimh\Documents\Occlusion\train\1094.jpg,0,1,0,1,0
1102,C:\Users\nidhimh\Documents\Occlusion\train\1103.jpg,0,1,0,0,0
1104,C:\Users\nidhimh\Documents\Occlusion\train\1105.jpg,0,1,1,0,0
1118,C:\Users\nidhimh\Documents\Occlusion\train\1119.jpg,0,1,0,0,0
1120,C:\Users\nidhimh\Documents\Occlusion\train\1121.jpg,0,1,0,0,0
1121,C:\Users\nidhimh\Documents\Occlusion\train\1122.jpg,0,1,1,0,0
1122,C:\Users\nidhimh\Documents\Occlusion\train\1123.jpg,0,1,1,1,0
1128,C:\Users\nidhimh\Documents\Occlusion\train\1129.jpg,0,1,1,0,0
1133,C:\Users\nidhimh\Documents\Occlusion\train\1134.jpg,0,1,1,1,0
1136,C:\Users\nidhimh\Documents\Occlusion\train\1137.jpg,0,1,0,1,0
1138,C:\Users\nidhimh\Documents\Occlusion\train\1139.jpg,0,1,1,0,0
1139,C:\Users\nidhimh\Documents\Occlusion\train\1140.jpg,0,0,1,1,0
1142,C:\Users\nidhimh\Documents\Occlusion\train\1143.jpg,0,1,1,1,0
1144,C:\Users\nidhimh\Documents\Occlusion\train\1145.jpg,0,1,0,0,0
1148,C:\Users\nidhimh\Documents\Occlusion\train\1149.jpg,0,1,0,0,0
1154,C:\Users\nidhimh\Documents\Occlusion\train\1155.jpg,0,1,0,1,0
1155,C:\Users\nidhimh\Documents\Occlusion\train\1156.jpg,0,1,1,1,0
1156,C:\Users\nidhimh\Documents\Occlusion\train\1157.jpg,0,1,1,0,0
1158,C:\Users\nidhimh\Documents\Occlusion\train\1159.jpg,0,1,1,0,0
1161,C:\Users\nidhimh\Documents\Occlusion\train\1162.jpg,0,1,0,0,0
1162,C:\Users\nidhimh\Documents\Occlusion\train\1163.jpg,0,1,0,0,0
1163,C:\Users\nidhimh\Documents\Occlusion\train\1164.jpg,0,1,0,0,0
1166,C:\Users\nidhimh\Documents\Occlusion\train\1167.jpg,0,1,0,0,0
1169,C:\Users\nidhimh\Documents\Occlusion\train\1170.jpg,0,1,0,0,0
1170,C:\Users\nidhimh\Documents\Occlusion\train\1171.jpg,0,1,1,0,0
1171,C:\Users\nidhimh\Documents\Occlusion\train\1172.jpg,0,1,1,0,0
1173,C:\Users\nidhimh\Documents\Occlusion\train\1174.jpg,0,1,0,0,0
1176,C:\Users\nidhimh\Documents\Occlusion\train\1177.jpg,0,1,1,0,0
1180,C:\Users\nidhimh\Documents\Occlusion\train\1181.jpg,0,0,0,1,0
1182,C:\Users\nidhimh\Documents\Occlusion\train\1183.jpg,0,0,1,0,0
1186,C:\Users\nidhimh\Documents\Occlusion\train\1187.jpg,0,1,0,0,0
1187,C:\Users\nidhimh\Documents\Occlusion\train\1188.jpg,0,1,0,0,0
1188,C:\Users\nidhimh\Documents\Occlusion\train\1189.jpg,0,1,1,0,0
1189,C:\Users\nidhimh\Documents\Occlusion\train\1190.jpg,0,1,1,0,0
1191,C:\Users\nidhimh\Documents\Occlusion\train\1192.jpg,0,0,1,1,0
1197,C:\Users\nidhimh\Documents\Occlusion\train\1198.jpg,0,1,1,1,0
1198,C:\Users\nidhimh\Documents\Occlusion\train\1199.jpg,0,0,1,1,0
1203,C:\Users\nidhimh\Documents\Occlusion\train\1204.jpg,0,1,1,0,0
1204,C:\Users\nidhimh\Documents\Occlusion\train\1205.jpg,0,1,0,0,0
1207,C:\Users\nidhimh\Documents\Occlusion\train\1208.jpg,0,1,1,0,0
1208,C:\Users\nidhimh\Documents\Occlusion\train\1209.jpg,0,0,1,0,0
1210,C:\Users\nidhimh\Documents\Occlusion\train\1211.jpg,0,1,0,0,0
1211,C:\Users\nidhimh\Documents\Occlusion\train\1212.jpg,0,1,0,0,0
1212,C:\Users\nidhimh\Documents\Occlusion\train\1213.jpg,0,1,0,0,0
1214,C:\Users\nidhimh\Documents\Occlusion\train\1215.jpg,0,1,0,0,0
1216,C:\Users\nidhimh\Documents\Occlusion\train\1217.jpg,0,1,1,0,0
1217,C:\Users\nidhimh\Documents\Occlusion\train\1218.jpg,0,0,1,0,0
1219,C:\Users\nidhimh\Documents\Occlusion\train\1220.jpg,0,1,1,0,0
1220,C:\Users\nidhimh\Documents\Occlusion\train\1221.jpg,0,1,0,0,0
1223,C:\Users\nidhimh\Documents\Occlusion\train\1224.jpg,0,1,0,1,0
1224,C:\Users\nidhimh\Documents\Occlusion\train\1225.jpg,0,1,0,0,0
1226,C:\Users\nidhimh\Documents\Occlusion\train\1227.jpg,0,1,1,0,0
1231,C:\Users\nidhimh\Documents\Occlusion\train\1232.jpg,0,1,1,0,0
1239,C:\Users\nidhimh\Documents\Occlusion\train\1240.jpg,0,0,1,0,0
1240,C:\Users\nidhimh\Documents\Occlusion\train\1241.jpg,0,0,1,0,0
1241,C:\Users\nidhimh\Documents\Occlusion\train\1242.jpg,0,0,1,0,0
1243,C:\Users\nidhimh\Documents\Occlusion\train\1244.jpg,0,1,1,0,0
1244,C:\Users\nidhimh\Documents\Occlusion\train\1245.jpg,0,1,1,0,0
1246,C:\Users\nidhimh\Documents\Occlusion\train\1247.jpg,0,1,1,0,0
1247,C:\Users\nidhimh\Documents\Occlusion\train\1248.jpg,0,1,1,0,0
1248,C:\Users\nidhimh\Documents\Occlusion\train\1249.jpg,0,1,1,0,0
1257,C:\Users\nidhimh\Documents\Occlusion\train\1258.jpg,0,1,1,1,0
1258,C:\Users\nidhimh\Documents\Occlusion\train\1259.jpg,0,1,1,0,0
1259,C:\Users\nidhimh\Documents\Occlusion\train\1260.jpg,0,0,1,0,0
1260,C:\Users\nidhimh\Documents\Occlusion\train\1261.jpg,0,0,1,0,0
1263,C:\Users\nidhimh\Documents\Occlusion\train\1264.jpg,0,1,0,1,0
1265,C:\Users\nidhimh\Documents\Occlusion\train\1266.jpg,0,1,0,0,0
1266,C:\Users\nidhimh\Documents\Occlusion\train\1267.jpg,0,1,1,0,0
1269,C:\Users\nidhimh\Documents\Occlusion\train\1270.jpg,0,1,0,0,0
1270,C:\Users\nidhimh\Documents\Occlusion\train\1271.jpg,0,1,0,0,0
1271,C:\Users\nidhimh\Documents\Occlusion\train\1272.jpg,0,0,1,0,0
1272,C:\Users\nidhimh\Documents\Occlusion\train\1273.jpg,0,0,1,1,0
1273,C:\Users\nidhimh\Documents\Occlusion\train\1274.jpg,0,1,1,0,0
1275,C:\Users\nidhimh\Documents\Occlusion\train\1276.jpg,0,1,1,0,0
1282,C:\Users\nidhimh\Documents\Occlusion\train\1283.jpg,0,1,0,0,0
1283,C:\Users\nidhimh\Documents\Occlusion\train\1284.jpg,0,1,0,1,0
1285,C:\Users\nidhimh\Documents\Occlusion\train\1286.jpg,0,1,1,1,0
1292,C:\Users\nidhimh\Documents\Occlusion\train\1293.jpg,0,1,1,0,0
1298,C:\Users\nidhimh\Documents\Occlusion\train\1299.jpg,0,1,1,0,0
1299,C:\Users\nidhimh\Documents\Occlusion\train\1300.jpg,0,1,1,0,0
1302,C:\Users\nidhimh\Documents\Occlusion\train\1303.jpg,0,0,1,1,0
1304,C:\Users\nidhimh\Documents\Occlusion\train\1305.jpg,0,0,1,0,0
1305,C:\Users\nidhimh\Documents\Occlusion\train\1306.jpg,0,0,1,0,0
1306,C:\Users\nidhimh\Documents\Occlusion\train\1307.jpg,0,1,1,1,0
1308,C:\Users\nidhimh\Documents\Occlusion\train\1309.jpg,0,0,1,0,0
1309,C:\Users\nidhimh\Documents\Occlusion\train\1310.jpg,0,1,1,0,0
1313,C:\Users\nidhimh\Documents\Occlusion\train\1314.jpg,0,1,0,0,0
1319,C:\Users\nidhimh\Documents\Occlusion\train\1320.jpg,0,0,1,0,0
1320,C:\Users\nidhimh\Documents\Occlusion\train\1321.jpg,0,1,1,0,0
1322,C:\Users\nidhimh\Documents\Occlusion\train\1323.jpg,0,1,1,0,0
1327,C:\Users\nidhimh\Documents\Occlusion\train\1328.jpg,0,1,1,0,0
1330,C:\Users\nidhimh\Documents\Occlusion\train\1331.jpg,0,1,1,0,0
1334,C:\Users\nidhimh\Documents\Occlusion\train\1335.jpg,0,1,0,0,0
1335,C:\Users\nidhimh\Documents\Occlusion\train\1336.jpg,0,0,1,0,0
1337,C:\Users\nidhimh\Documents\Occlusion\train\1338.jpg,0,1,1,1,0
1338,C:\Users\nidhimh\Documents\Occlusion\train\1339.jpg,0,1,0,0,0
1340,C:\Users\nidhimh\Documents\Occlusion\train\1341.jpg,0,1,1,0,0
1342,C:\Users\nidhimh\Documents\Occlusion\train\1343.jpg,0,0,1,1,0
1343,C:\Users\nidhimh\Documents\Occlusion\train\1344.jpg,0,1,0,0,0
1346,C:\Users\nidhimh\Documents\Occlusion\val\2.jpg,0,1,0,1,0
1347,C:\Users\nidhimh\Documents\Occlusion\val\3.jpg,0,0,1,1,0
1348,C:\Users\nidhimh\Documents\Occlusion\val\4.jpg,0,1,0,0,0
1349,C:\Users\nidhimh\Documents\Occlusion\val\5.jpg,0,1,0,0,0
1351,C:\Users\nidhimh\Documents\Occlusion\val\7.jpg,0,1,0,0,0
1352,C:\Users\nidhimh\Documents\Occlusion\val\8.jpg,0,1,1,1,0
1353,C:\Users\nidhimh\Documents\Occlusion\val\9.jpg,0,1,0,0,0
1354,C:\Users\nidhimh\Documents\Occlusion\val\10.jpg,0,1,0,0,0
1355,C:\Users\nidhimh\Documents\Occlusion\val\11.jpg,0,1,0,1,0
1359,C:\Users\nidhimh\Documents\Occlusion\val\15.jpg,0,1,1,1,0
1360,C:\Users\nidhimh\Documents\Occlusion\val\16.jpg,0,1,1,1,0
1362,C:\Users\nidhimh\Documents\Occlusion\val\18.jpg,0,1,0,0,0
1363,C:\Users\nidhimh\Documents\Occlusion\val\19.jpg,0,1,1,1,0
1364,C:\Users\nidhimh\Documents\Occlusion\val\20.jpg,0,1,1,0,0
